Table,Variety,Year,Value
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2000,18
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2001,18
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2002,22
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2003,25
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2004,27
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2005,26
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2006,25
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2007,21
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2008,17
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2009,17
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2010,16
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2011,16
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2012,15
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2013,5
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2014,4
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2015,4
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2016,3
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2017,3
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2018,2
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2019,3
Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,2020,3
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2000,6
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2001,7
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2002,9
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2003,11
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2004,14
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2005,17
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2006,21
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2007,24
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2008,23
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2009,22
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2010,23
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2011,23
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2012,21
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2013,14
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2014,13
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2015,12
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2016,13
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2017,12
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2018,10
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2019,9
Genetically engineered (GE) corn varieties,Herbicide-tolerant only,2020,10
Genetically engineered (GE) corn varieties,Stacked gene varieties,2000,1
Genetically engineered (GE) corn varieties,Stacked gene varieties,2001,1
Genetically engineered (GE) corn varieties,Stacked gene varieties,2002,2
Genetically engineered (GE) corn varieties,Stacked gene varieties,2003,4
Genetically engineered (GE) corn varieties,Stacked gene varieties,2004,6
Genetically engineered (GE) corn varieties,Stacked gene varieties,2005,9
Genetically engineered (GE) corn varieties,Stacked gene varieties,2006,15
Genetically engineered (GE) corn varieties,Stacked gene varieties,2007,28
Genetically engineered (GE) corn varieties,Stacked gene varieties,2008,40
Genetically engineered (GE) corn varieties,Stacked gene varieties,2009,46
Genetically engineered (GE) corn varieties,Stacked gene varieties,2010,47
Genetically engineered (GE) corn varieties,Stacked gene varieties,2011,49
Genetically engineered (GE) corn varieties,Stacked gene varieties,2012,52
Genetically engineered (GE) corn varieties,Stacked gene varieties,2013,71
Genetically engineered (GE) corn varieties,Stacked gene varieties,2014,76
Genetically engineered (GE) corn varieties,Stacked gene varieties,2015,77
Genetically engineered (GE) corn varieties,Stacked gene varieties,2016,76
Genetically engineered (GE) corn varieties,Stacked gene varieties,2017,77
Genetically engineered (GE) corn varieties,Stacked gene varieties,2018,80
Genetically engineered (GE) corn varieties,Stacked gene varieties,2019,80
