Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,IL,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,IN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,IA,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,KS,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,MI,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,MN,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,MO,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,NE,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,OH,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,SD,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2000,WI,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,IL,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,IN,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,IA,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,KS,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,MI,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,MN,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,MO,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,NE,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,OH,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,SD,30
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2001,WI,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,IL,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,IN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,IA,31
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,KS,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,MI,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,MN,29
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,MO,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,NE,34
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,OH,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,SD,33
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2002,WI,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,IL,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,IN,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,IA,33
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,KS,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,MI,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,MN,31
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,MO,32
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,NE,36
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,OH,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,SD,34
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2003,WI,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,IL,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,IN,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,IA,36
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,KS,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,MI,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,MN,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,MO,32
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,NE,41
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,OH,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,SD,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2004,WI,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,IL,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,IN,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,IA,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,KS,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,MI,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,MN,33
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,MO,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,NE,39
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,ND,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,OH,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,SD,30
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,TX,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2005,WI,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,IL,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,IN,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,IA,32
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,KS,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,MI,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,MN,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,MO,38
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,NE,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,ND,29
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,OH,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,SD,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,TX,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2006,WI,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,IL,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,IN,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,IA,22
