,No Data,True,False
1791,0,0,2
1792,0,0,4
1793,0,0,3
1794,0,0,2
1795,0,0,6
1796,0,0,16
1797,0,0,8
1798,0,0,6
1799,0,0,7
1800,0,0,9
1801,0,0,6
1803,0,0,19
1804,0,0,15
1805,0,0,23
1806,0,0,27
1807,0,0,43
1808,0,0,9
1809,0,0,46
1810,0,1,37
1812,0,0,40
1813,0,0,46
1814,0,0,47
1815,0,0,41
1816,0,0,42
1817,0,0,42
1818,0,0,38
1819,0,0,33
1820,0,0,27
1821,0,0,41
1822,0,0,32
1823,0,0,29
1824,0,0,41
1825,0,0,27
1826,0,0,33
1827,0,0,47
1828,0,0,55
1829,0,0,44
1830,0,1,56
1831,0,0,42
1832,0,1,55
1833,0,0,41
1834,0,0,64
1835,0,0,38
1836,0,0,51
1837,0,0,20
1838,0,0,42
1839,0,0,50
1840,0,0,43
1841,0,0,31
1842,0,0,44
1843,0,0,34
1844,0,1,38
1845,0,0,52
1846,0,0,47
1847,0,0,36
1848,0,0,36
1849,0,0,42
1850,0,0,168
1851,0,1,97
1852,0,0,59
1853,0,0,81
1854,0,0,71
1855,0,0,92
1856,0,0,64
1857,0,1,72
1858,0,0,69
1859,0,0,115
1860,0,1,67
1861,0,0,71
1862,0,0,42
1863,0,0,83
1864,0,0,59
1865,0,0,84
1866,0,0,134
1867,0,1,115
1868,0,1,107
1869,0,0,205
1870,0,1,134
1871,0,1,197
1872,0,0,198
1873,0,1,212
1874,0,1,198
1875,0,0,211
1876,0,0,242
1877,0,1,266
1878,0,0,225
1879,0,1,246
1880,0,2,235
1881,0,0,248
1882,0,2,260
1883,0,0,283
1884,0,1,271
1885,0,0,279
1886,0,2,304
1887,0,2,289
1888,0,0,252
1889,0,1,285
1890,0,0,312
1891,0,1,265
1892,0,0,257
1893,0,1,293
1894,0,1,251
1895,0,0,272
1896,0,0,234
1897,0,0,190
1898,0,0,183
1899,0,0,217
1900,0,0,200
1901,0,0,182
1902,0,0,216
1903,0,0,214
1904,0,0,198
1905,0,0,174
1906,0,0,210
1907,0,0,177
1908,0,0,184
1909,0,0,176
1910,0,0,172
1911,0,0,243
1912,0,1,288
1913,0,1,294
1914,0,0,274
1915,0,1,243
1916,0,1,217
1917,0,3,214
1918,0,0,232
1919,0,0,181
1920,0,0,224
1921,0,1,178
1922,0,1,228
1923,0,0,215
1924,0,1,236
1925,0,0,212
1926,0,0,201
1927,0,0,177
1928,0,1,128
1929,0,1,137
1930,0,1,167
1931,0,2,149
1932,0,0,169
1933,0,1,169
1934,0,0,171
1935,0,1,159
1936,0,1,162
1937,0,4,166
1938,1,3,147
1939,0,4,141
1940,0,6,172
1941,0,5,161
1942,0,6,166
1943,0,5,135
1944,0,0,164
1945,0,1,138
1946,0,3,139
1947,0,1,117
1948,0,5,122
1949,0,2,98
1950,0,0,103
1951,0,2,98
1952,0,0,122
1953,0,1,86
1954,0,2,96
1955,0,0,106
1956,0,2,125
1957,0,0,155
1958,0,1,138
1959,0,2,134
1960,0,2,137
1961,0,1,117
1962,0,6,152
1963,0,6,177
1964,0,3,131
1965,0,4,137
1966,0,6,141
1967,0,8,189
1968,0,5,135
1969,0,5,136
1970,0,3,141
1971,0,3,176
1972,0,3,183
1973,0,3,170
1974,0,2,152
1975,0,8,174
1976,0,7,172
1977,0,4,151
1978,0,2,158
1979,0,3,154
1980,0,1,152
1981,0,2,175
1982,0,3,163
1983,0,4,169
1984,0,2,163
1985,0,3,162
1986,0,4,157
1987,0,2,151
1988,0,4,148
1989,0,2,138
1990,0,5,124
1991,0,3,117
1992,1,1,118
1993,0,2,94
1994,0,3,89
1995,0,4,87
1996,0,1,95
1997,0,3,99
1998,0,2,90
1999,0,1,84
2000,0,1,86
2001,0,4,81
2002,0,1,83
2003,0,1,78
2004,0,1,79
2005,0,2,85
2006,0,5,70
2007,0,0,74
2008,0,2,81
2009,0,2,91
2010,0,1,83
2011,0,0,77
2012,0,1,78
2013,0,0,75
2014,0,2,72
2015,0,1,80
2016,0,0,69
2017,0,3,73
2018,0,4,69
2019,0,1,59
2020,0,1,64
